abscissa	curvature	X	Y	theta	width_L	width_R
8.73507576521282089743e+02	-1.19222666482374684178e-03	-9.68419277303277681312e+01	-4.71795225665661490666e+01	-3.37000597784649080779e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
8.79870829564857785954e+02	-4.11245403321100835847e-02	-1.02961960485174088831e+02	-4.54557369648429983044e+01	-3.50464212603383229450e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
8.87112794658788516244e+02	-6.85751550807887494399e-02	-1.09113775611513673880e+02	-4.17258014855028633860e+01	-3.90186280864648082911e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
8.93615270930797805704e+02	-5.24350847730137500924e-02	-1.12788521171282624778e+02	-3.64121201645110943446e+01	-4.29529591510877306604e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
9.00233404733303473222e+02	-4.60333025608788901084e-02	-1.14422703684625560072e+02	-3.00291049668222100877e+01	-4.62113439667552494683e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
9.06736408789582924328e+02	-9.26937945758628256687e-02	-1.13721890924092789987e+02	-2.36197018662116846599e+01	-5.07220583425148419110e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
9.14348304187193434700e+02	-1.14197992910659018584e-02	-1.09393176734880739787e+02	-1.74214171733899192418e+01	-5.46845672716904029897e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
9.19976754539599028249e+02	-4.36848683911106490385e-03	-1.05428772447388837463e+02	-1.34267117635409523047e+01	-5.51288851957527548109e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
9.26430566803500028072e+02	-1.67939441407279825384e-03	-1.00746859506408213747e+02	-8.98486028616597565133e+00	-5.53240446458291579290e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
9.32047789876471597381e+02	-3.88837040582281517377e-04	-9.66263770215996942170e+01	-5.16717406066186857316e+00	-5.53821332338713823162e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
9.38545759385346627823e+02	1.79881007559284347881e-03	-9.18545543466287597312e+01	-7.56592420255017827913e-01	-5.53363234234783085697e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
9.44884275347044535920e+02	2.72515863967362102424e-03	-8.72437901443832544146e+01	3.59276936001197899628e+00	-5.51929471867408327768e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
9.51783325457486284904e+02	1.23853177414992359981e-03	-8.22985299633959925814e+01	8.40323147006379045365e+00	-5.50562186859765301250e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
9.73305571061565956370e+02	-3.59955361012126873882e-03	-6.69011013490741817122e+01	2.34396657503115122267e+01	-5.53102911920973205895e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
9.79837610477408816223e+02	-7.21062178867277470129e-02	-6.17781729574213045453e+01	2.74638951553177435017e+01	-5.77828565972559449193e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
9.86998023195584437417e+02	-1.04127108799113604620e-01	-5.48889415616890445904e+01	2.89226256685724578688e+01	-6.40923733823372998586e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
9.92580252533712268814e+02	-3.34120761382476483270e-02	-4.96797024540356702005e+01	2.70153595520312173051e+01	-6.79312497307375195987e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
1.02030414911538048273e+03	2.02935350836753840287e-02	-2.89893365788112475911e+01	8.68362956444198275108e+00	-6.97497351272829479996e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
1.02520627694582981349e+03	-5.44976460317300563652e-03	-2.51262251171464967570e+01	5.66633857642402460897e+00	-6.93859048243046849791e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
1.03005053089412490408e+03	7.27259041454009352856e-02	-2.11480019098442184600e+01	2.91243311308491215073e+00	-6.77563913012264684710e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
1.03561807592886634666e+03	3.60618613508913998800e-02	-1.58904302643097210535e+01	1.14677740480488488117e+00	-6.47279873838935415620e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
1.04136006299662221863e+03	3.25145855249879328283e-03	-1.01911860369721054553e+01	4.74154938892003663398e-01	-6.35993045103965037868e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
1.04684426631952896969e+03	7.33544676268665322288e-03	-4.71843846716102355288e+00	1.22890149113634272737e-01	-6.33090008054051267550e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
1.05156475486229828675e+03	1.28805909103702938279e-02	-1.42108547152020037174e-14	2.13717932240342634032e-15	-6.28318529343258358466e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
